edge_id,u,v,edge_length_m,estimated_travel_time,routing_cost,static_cost,speed_limit,traffic_signal_density,intersection_density,commercial_density,nightlife_density,hospital_density,police_station_distance,cctv_density_estimate,lighting_score,crime_score,activity_score,event_frequency,infrastructure_score,connectivity_score,isolated_area_score,road_risk_score,travel_time_estimate,congestion_score,flood_risk,weather_exposure_score,poi_density,time_risk,adjacency_count,zone,direction,source_area,destination_area,road_name,road_type,highway_type,junction_type,road_width_estimate,zone_type,static_component,graph_component
590,196,1537,20.91,3.01,36.1,20.91,25.0,0.185,0.285,0.676,0.558,0.261,0.391,0.6115,0.6875,0.374,0.5085,0.113,0.3585,0.4325,0.3405,0.4345,2.445,0.584,0.162,0.2895,0.531,0.388,6.0,CENTRAL BANGALORE,Bi-directional,Brigade Road,Brigade Road,Bovie Lane,residential,residential,none,7.5m,SafeZone,0,0
591,196,1542,91.89,11.03,159.23,91.89,30.0,0.175,0.5,0.7345,0.593,0.134,0.4105,0.684,0.7405,0.291,0.547,0.1125,0.492,0.5445,0.3335,0.403,5.675,0.6595,0.188,0.4755,0.5815,0.336,4.5,CENTRAL BANGALORE,Bi-directional,Brigade Road,Brigade Road,Bovie Lane,residential,residential,none,7.5m,SafeZone,0,0
592,196,1550,18.66,2.69,31.29,18.66,25.0,0.155,0.47,0.661,0.5645,0.094,0.2555,0.626,0.647,0.2885,0.4625,0.1375,0.37,0.461,0.3635,0.387,2.3,0.5795,0.2135,0.2875,0.483,0.328,6.0,CENTRAL BANGALORE,Bi-directional,Brigade Road,Brigade Road,Bovie Lane,residential,residential,none,7.5m,SafeZone,0,0
593,197,222,37.54,4.51,63.37,37.54,30.0,0.4583,0.3675,0.6838,0.5838,0.1525,0.5131,0.5912,0.7136,0.4112,0.4818,0.1078,0.4381,0.4416,0.3565,0.4072,4.45,0.5613,0.1838,0.3762,0.472,0.4418,4.0,CENTRAL BANGALORE,Bi-directional,Brigade Road,Brigade Road,Brigade Road Cross,residential,residential,none,7.5m,SafeZone,0,0
594,197,1482,33.3,4.8,55.6,33.3,25.0,0.5283,0.49,0.67,0.4708,0.1735,0.4923,0.5987,0.7488,0.3705,0.4733,0.1225,0.4443,0.4473,0.3565,0.381,3.255,0.5768,0.1265,0.3392,0.4555,0.436,4.0,CENTRAL BANGALORE,Bi-directional,Brigade Road,Brigade Road,Brigade Road Cross,residential,residential,none,7.5m,SafeZone,0,0
595,197,1574,81.21,9.74,139.16,81.21,30.0,0.5433,0.515,0.697,0.5708,0.256,0.5338,0.6192,0.7773,0.403,0.5813,0.102,0.5673,0.5793,0.3055,0.3895,8.82,0.6483,0.193,0.4452,0.5545,0.418,5.5,CENTRAL BANGALORE,Bi-directional,Brigade Road,Brigade Road,Brigade Road Cross,residential,residential,none,7.5m,SafeZone,0,0
596,197,1582,46.26,5.55,79.01,46.26,30.0,0.4033,0.55,0.7115,0.5183,0.1745,0.4703,0.5942,0.7248,0.348,0.5123,0.112,0.5378,0.5563,0.3075,0.373,5.93,0.6698,0.1695,0.3952,0.531,0.381,4.5,CENTRAL BANGALORE,Bi-directional,Brigade Road,Brigade Road,Brigade Road Cross,residential,residential,none,7.5m,SafeZone,0,0
597,198,249,79.41,8.17,141.34,79.41,35.0,0.49,0.585,0.9145,0.756,0.489,0.5365,0.729,0.883,0.342,0.633,0.149,0.5725,0.58,0.2365,0.366,7.46,0.8275,0.2045,0.419,0.5985,0.3645,3.5,CENTRAL BANGALORE,Bi-directional,Brigade Road,Brigade Road,Mahatma Gandhi Road,secondary,secondary,none,7.5m,SafeZone,2,0
598,198,258,74.0,7.61,131.24,74.0,35.0,0.4425,0.58,0.9105,0.7112,0.4022,0.4165,0.7263,0.9032,0.3133,0.6647,0.146,0.5728,0.5765,0.2312,0.3675,7.215,0.8122,0.2438,0.438,0.6342,0.305,3.25,CENTRAL BANGALORE,Bi-directional,Brigade Road,Brigade Road,Mahatma Gandhi Road,secondary,secondary,none,7.5m,SafeZone,2,0
599,198,1570,80.43,9.65,143.09,80.43,30.0,0.505,0.535,0.816,0.7025,0.333,0.3985,0.702,0.8595,0.338,0.65,0.134,0.611,0.554,0.2655,0.3815,7.245,0.795,0.231,0.4345,0.649,0.332,3.0,CENTRAL BANGALORE,Bi-directional,Brigade Road,Brigade Road,Mahatma Gandhi Road,secondary,secondary,none,7.5m,SafeZone,2,0
600,199,210,11.96,0.96,20.0,11.96,45.0,0.29,0.4425,0.7465,0.6318,0.2645,0.4962,0.6788,0.7703,0.344,0.5432,0.1117,0.5268,0.491,0.333,0.3715,1.635,0.6028,0.1942,0.381,0.566,0.4142,3.5,CENTRAL BANGALORE,Bi-directional,Brigade Road,Brigade Road,Brigade Road,secondary,secondary,none,7.5m,SafeZone,0,0
601,199,398,28.59,1.72,47.58,28.59,60.0,0.2925,0.45,0.7855,0.593,0.2588,0.4905,0.6845,0.7918,0.2662,0.5692,0.1148,0.621,0.5515,0.2862,0.3482,2.58,0.6325,0.1465,0.4725,0.5922,0.364,3.5,CENTRAL BANGALORE,Bi-directional,Brigade Road,Brigade Road,Brigade Road,secondary,secondary,none,7.5m,SafeZone,0,0
602,199,1528,25.26,1.52,41.34,25.26,60.0,0.3575,0.39,0.7545,0.573,0.1298,0.546,0.6695,0.8272,0.2503,0.6147,0.0778,0.63,0.5325,0.2708,0.3183,1.76,0.6365,0.211,0.4135,0.5858,0.3275,3.5,CENTRAL BANGALORE,Bi-directional,Brigade Road,Brigade Road,Brigade Road,secondary,secondary,none,7.5m,SafeZone,0,0
603,199,1567,69.24,5.54,115.26,69.24,45.0,0.3625,0.415,0.758,0.602,0.3442,0.3565,0.644,0.7632,0.3442,0.5522,0.1348,0.5525,0.551,0.2832,0.3713,4.855,0.587,0.144,0.351,0.5362,0.3675,5.0,CENTRAL BANGALORE,Bi-directional,Brigade Road,Brigade Road,Brigade Road,secondary,secondary,none,7.5m,SafeZone,0,0
604,199,1581,11.66,0.93,19.69,11.66,45.0,0.2625,0.41,0.761,0.569,0.2788,0.367,0.6675,0.7543,0.3568,0.5382,0.1198,0.51,0.52,0.3388,0.3832,1.44,0.61,0.2215,0.388,0.5372,0.361,4.0,CENTRAL BANGALORE,Bi-directional,Brigade Road,Brigade Road,Brigade Road,secondary,secondary,none,7.5m,SafeZone,0,0
605,200,1521,27.01,3.24,45.85,27.01,30.0,0.3767,0.3067,0.668,0.4935,0.2595,0.6552,0.5882,0.6632,0.3678,0.5098,0.139,0.3997,0.4578,0.3138,0.4057,2.435,0.5832,0.236,0.324,0.5428,0.4535,5.0,CENTRAL BANGALORE,Bi-directional,Brigade Road,Brigade Road,Unnamed Road,residential,residential,none,7.5m,SafeZone,0,0
606,200,1576,28.48,4.1,48.98,28.48,25.0,0.3017,0.4567,0.656,0.506,0.299,0.4382,0.6122,0.6677,0.3618,0.4913,0.099,0.3872,0.4798,0.3353,0.4152,3.725,0.6092,0.2215,0.3125,0.4818,0.416,6.0,CENTRAL BANGALORE,Bi-directional,Brigade Road,Brigade Road,Unnamed Road,residential,residential,none,7.5m,SafeZone,0,0
607,202,1464,5.33,0.55,9.39,5.33,35.0,0.395,0.66,0.869,0.6175,0.24,0.6465,0.6865,0.7885,0.2905,0.662,0.1705,0.56,0.5795,0.2615,0.3835,0.645,0.755,0.087,0.4695,0.658,0.3685,3.5,CENTRAL BANGALORE,Bi-directional,Brigade Road,Brigade Road,Dickenson Road,secondary,secondary,none,7.5m,SafeZone,0,0
608,202,1504,49.91,5.13,87.1,49.91,35.0,0.44,0.65,0.89,0.615,0.441,0.7275,0.706,0.7815,0.254,0.619,0.1265,0.602,0.6025,0.2455,0.375,3.99,0.7405,0.1165,0.437,0.6275,0.4,4.5,CENTRAL BANGALORE,Bi-directional,Brigade Road,Brigade Road,Dickenson Road,secondary,secondary,none,7.5m,SafeZone,0,0
609,202,1510,110.24,8.82,190.8,110.24,45.0,0.385,0.6,0.8555,0.628,0.3305,0.795,0.7175,0.885,0.2525,0.6325,0.1405,0.6505,0.605,0.227,0.3495,0.67,0.7625,0.1695,0.549,0.5845,0.386,3.5,CENTRAL BANGALORE,Bi-directional,Brigade Road,Brigade Road,Dickenson Road,secondary,secondary,none,7.5m,SafeZone,0,0
610,202,1514,129.86,13.36,223.91,129.86,35.0,0.44,0.46,0.86,0.638,0.3535,0.717,0.6765,0.789,0.2555,0.6395,0.128,0.596,0.559,0.254,0.366,3.8,0.7165,0.112,0.4275,0.651,0.3945,4.5,CENTRAL BANGALORE,Bi-directional,Brigade Road,Brigade Road,Dickenson Road,secondary,secondary,none,7.5m,SafeZone,0,0
611,202,2278,129.12,11.62,221.28,129.12,40.0,0.225,0.68,0.873,0.66,0.438,0.518,0.6815,0.838,0.2535,0.6745,0.139,0.5635,0.525,0.2315,0.366,11.63,0.6955,0.0695,0.4375,0.673,0.328,3.0,CENTRAL BANGALORE,Bi-directional,Brigade Road,Brigade Road,Dickenson Road,secondary,secondary,none,7.5m,SafeZone,0,0
612,203,218,76.18,7.84,132.13,76.18,35.0,0.1483,0.405,0.7708,0.6593,0.2943,0.614,0.7215,0.8018,0.2852,0.5758,0.1507,0.4788,0.5265,0.2648,0.3917,2.74,0.6855,0.1543,0.4645,0.5563,0.3817,5.0,CENTRAL BANGALORE,Bi-directional,Brigade Road,Brigade Road,Richmond Road,primary,primary,none,7.5m,SafeZone,0,0
613,203,246,41.65,4.28,72.2,41.65,35.0,0.2225,0.395,0.7895,0.7075,0.3093,0.4565,0.7165,0.8245,0.2742,0.5728,0.1342,0.4812,0.4982,0.2648,0.3788,1.08,0.7093,0.139,0.4615,0.5505,0.3548,4.0,CENTRAL BANGALORE,Bi-directional,Brigade Road,Brigade Road,Richmond Road,primary,primary,none,7.5m,SafeZone,0,0
614,203,1518,42.38,4.36,72.05,42.38,35.0,0.125,0.45,0.765,0.658,0.357,0.4975,0.69,0.8,0.3,0.537,0.149,0.4825,0.554,0.2705,0.3815,2.375,0.637,0.141,0.467,0.5045,0.3805,5.0,CENTRAL BANGALORE,Bi-directional,Brigade Road,Brigade Road,Richmond Road,primary,primary,none,7.5m,SafeZone,0,0
615,204,240,68.77,12.38,119.01,68.77,20.0,0.145,0.595,0.8145,0.6895,0.447,0.506,0.649,0.6565,0.3235,0.4605,0.0745,0.33,0.398,0.327,0.418,9.08,0.625,0.197,0.3315,0.4715,0.417,4.0,CENTRAL BANGALORE,Bi-directional,Brigade Road,Brigade Road,Primrose Road,unclassified,unclassified,none,7.5m,SafeZone,0,0
616,204,248,90.03,16.21,157.4,90.03,20.0,0.255,0.43,0.753,0.7065,0.365,0.4455,0.637,0.6775,0.327,0.4895,0.124,0.3975,0.363,0.3045,0.4165,7.35,0.6635,0.2125,0.3565,0.52,0.4215,4.0,CENTRAL BANGALORE,Bi-directional,Brigade Road,Brigade Road,Primrose Road,unclassified,unclassified,none,7.5m,SafeZone,0,0
617,204,252,85.98,30.95,144.95,85.98,10.0,0.305,0.535,0.7065,0.6395,0.2985,0.3475,0.63,0.671,0.239,0.463,0.129,0.3775,0.3435,0.354,0.369,7.765,0.6335,0.1255,0.3,0.495,0.382,3.5,CENTRAL BANGALORE,Bi-directional,Brigade Road,Brigade Road,Primrose Road,unclassified,unclassified,none,7.5m,SafeZone,0,0
618,205,211,62.63,4.51,104.73,62.63,50.0,0.225,0.48,0.9115,0.783,0.347,0.668,0.8465,0.9335,0.209,0.7375,0.151,0.701,0.6365,0.207,0.315,5.64,0.7145,0.189,0.56,0.6935,0.3225,3.5,CENTRAL BANGALORE,Bi-directional,Brigade Road,Brigade Road,Cubbon Road,primary,primary,none,7.5m,SafeZone,0,0
619,205,1485,67.41,5.39,115.73,67.41,45.0,0.2,0.585,0.7955,0.5995,0.2125,0.5155,0.7515,0.938,0.2285,0.7195,0.15,0.6515,0.6275,0.183,0.342,5.83,0.7495,0.131,0.579,0.6905,0.279,3.5,CENTRAL BANGALORE,Bi-directional,Brigade Road,Brigade Road,Cubbon Road,primary,primary,none,7.5m,SafeZone,0,0
620,205,1510,63.86,4.6,107.66,63.86,50.0,0.36,0.495,0.84,0.651,0.3065,0.7715,0.7645,0.952,0.23,0.6615,0.1305,0.7125,0.6455,0.2145,0.325,5.62,0.722,0.18,0.6045,0.597,0.341,4.0,CENTRAL BANGALORE,Bi-directional,Brigade Road,Brigade Road,Cubbon Road,primary,primary,none,7.5m,SafeZone,0,0
621,206,1497,25.94,3.11,44.76,25.94,30.0,0.325,0.53,0.7085,0.549,0.424,0.6575,0.623,0.6835,0.416,0.5345,0.165,0.4585,0.562,0.301,0.397,2.855,0.6565,0.146,0.326,0.548,0.4465,6.0,CENTRAL BANGALORE,Bi-directional,Brigade Road,Brigade Road,Pulliyar Kovil Street,residential,residential,none,7.5m,SafeZone,0,0
622,206,1545,30.8,3.7,52.05,30.8,30.0,0.245,0.38,0.6775,0.593,0.467,0.827,0.617,0.703,0.3525,0.506,0.1245,0.439,0.5295,0.2865,0.3755,2.8,0.6285,0.079,0.334,0.5335,0.46,6.0,CENTRAL BANGALORE,Bi-directional,Brigade Road,Brigade Road,Pulliyar Kovil Street,residential,residential,none,7.5m,SafeZone,0,0
623,207,385,95.41,9.81,162.15,95.41,35.0,0.22,0.5325,0.7588,0.627,0.237,0.6755,0.6742,0.8012,0.292,0.621,0.1582,0.5112,0.5108,0.2818,0.3788,7.67,0.6418,0.0787,0.444,0.623,0.4128,3.5,CENTRAL BANGALORE,Bi-directional,Brigade Road,Brigade Road,Central Street,tertiary,tertiary,none,7.5m,SafeZone,0,0
624,207,1628,108.89,13.07,188.21,108.89,30.0,0.41,0.4575,0.8292,0.6235,0.0795,0.339,0.6828,0.7992,0.223,0.6035,0.1733,0.5352,0.5212,0.2902,0.3722,14.48,0.7123,0.0692,0.4275,0.5835,0.3073,3.5,CENTRAL BANGALORE,Bi-directional,Brigade Road,Brigade Road,Central Street,tertiary,tertiary,none,7.5m,SafeZone,0,0
625,208,1470,37.94,4.55,63.41,37.94,30.0,0.33,0.47,0.787,0.6355,0.053,0.4465,0.628,0.713,0.364,0.515,0.1175,0.4345,0.5045,0.296,0.374,3.445,0.595,0.094,0.3235,0.534,0.3825,6.0,CENTRAL BANGALORE,Bi-directional,Brigade Road,Brigade Road,Markham Road,residential,residential,none,7.5m,SafeZone,0,0
626,208,1476,43.94,5.27,75.74,43.94,30.0,0.4175,0.4375,0.7405,0.6327,0.1162,0.4875,0.6527,0.7512,0.3982,0.497,0.1085,0.4528,0.5245,0.3105,0.401,3.965,0.6452,0.099,0.3193,0.4878,0.414,6.0,CENTRAL BANGALORE,Bi-directional,Brigade Road,Brigade Road,Markham Road,residential,residential,none,7.5m,SafeZone,0,0
627,208,1503,76.98,9.24,134.97,76.98,30.0,0.45,0.38,0.786,0.6275,0.137,0.545,0.675,0.771,0.3065,0.572,0.163,0.549,0.5335,0.283,0.398,10.985,0.7105,0.1345,0.3885,0.58,0.39,5.0,CENTRAL BANGALORE,Bi-directional,Brigade Road,Brigade Road,Markham Road,residential,residential,none,7.5m,SafeZone,0,0
628,209,241,69.72,6.27,122.78,69.72,40.0,0.33,0.42,0.7345,0.7925,0.2545,0.473,0.7655,0.834,0.299,0.625,0.1605,0.5385,0.5105,0.3095,0.4005,1.735,0.721,0.2495,0.4835,0.598,0.361,3.0,CENTRAL BANGALORE,Bi-directional,Brigade Road,Brigade Road,Victoria Road,primary,primary,none,7.5m,SafeZone,0,0
629,209,1489,151.0,13.59,263.64,151.0,40.0,0.24,0.535,0.7505,0.6495,0.278,0.7075,0.7105,0.814,0.2575,0.555,0.1705,0.5085,0.547,0.295,0.3945,2.135,0.703,0.2285,0.4875,0.532,0.3985,4.0,CENTRAL BANGALORE,Bi-directional,Brigade Road,Brigade Road,Victoria Road,primary,primary,none,7.5m,SafeZone,0,0
630,209,1505,228.69,20.58,380.82,228.69,40.0,0.165,0.475,0.7365,0.6245,0.2625,0.3705,0.7025,0.833,0.237,0.554,0.1365,0.501,0.568,0.316,0.3425,1.45,0.6455,0.2855,0.5175,0.5555,0.351,4.0,CENTRAL BANGALORE,Bi-directional,Brigade Road,Brigade Road,Victoria Road,primary,primary,none,7.5m,SafeZone,0,0
631,210,212,24.76,3.57,42.56,24.76,25.0,0.1875,0.3542,0.6705,0.5571,0.2571,0.4729,0.6133,0.704,0.4078,0.4828,0.1502,0.3669,0.4032,0.3866,0.4219,2.38,0.5933,0.1929,0.3487,0.5096,0.4561,3.3333,CENTRAL BANGALORE,Bi-directional,Brigade Road,Brigade Road,Castle Street,residential,residential,none,7.5m,SafeZone,0,0
632,210,398,22.39,1.79,37.8,22.39,45.0,0.1975,0.3825,0.726,0.5508,0.2658,0.3798,0.6462,0.7545,0.3368,0.513,0.148,0.4728,0.4625,0.3438,0.3812,2.595,0.6133,0.1118,0.4195,0.5468,0.4062,3.0,CENTRAL BANGALORE,Bi-directional,Brigade Road,Brigade Road,Castle Street,residential,residential,none,7.5m,SafeZone,0,0
633,210,1581,23.49,2.82,40.21,23.49,30.0,0.1675,0.3425,0.7015,0.5268,0.2858,0.2562,0.6293,0.717,0.4272,0.482,0.153,0.3618,0.431,0.3962,0.4162,1.455,0.5908,0.1868,0.335,0.4918,0.4032,3.5,CENTRAL BANGALORE,Bi-directional,Brigade Road,Brigade Road,Castle Street,residential,residential,none,7.5m,SafeZone,0,0
634,211,236,87.2,6.28,144.75,87.2,50.0,0.33,0.345,0.851,0.812,0.371,0.3815,0.8585,0.9465,0.167,0.711,0.101,0.696,0.634,0.2145,0.2835,8.25,0.753,0.254,0.5925,0.71,0.2665,3.5,CENTRAL BANGALORE,Bi-directional,Brigade Road,Brigade Road,Cubbon Road,primary,primary,none,7.5m,SafeZone,0,0
635,211,1485,8.19,0.65,13.87,8.19,45.0,0.125,0.585,0.793,0.6435,0.1715,0.5055,0.789,0.9075,0.1765,0.722,0.136,0.6265,0.619,0.206,0.315,1.03,0.757,0.221,0.567,0.715,0.2985,3.0,CENTRAL BANGALORE,Bi-directional,Brigade Road,Brigade Road,Cubbon Road,primary,primary,none,7.5m,SafeZone,0,0
636,211,1510,13.75,0.99,22.87,13.75,50.0,0.285,0.495,0.8375,0.695,0.2655,0.7615,0.802,0.9215,0.178,0.664,0.1165,0.6875,0.637,0.2375,0.298,0.82,0.7295,0.27,0.5925,0.6215,0.3605,3.5,CENTRAL BANGALORE,Bi-directional,Brigade Road,Brigade Road,Cubbon Road,primary,primary,none,7.5m,SafeZone,0,0
637,212,398,31.46,2.83,53.8,31.46,40.0,0.19,0.3617,0.7095,0.5183,0.2513,0.4672,0.619,0.7255,0.33,0.5088,0.1532,0.4612,0.4637,0.3398,0.3987,3.325,0.623,0.1452,0.4402,0.5358,0.4058,3.3333,CENTRAL BANGALORE,Bi-directional,Brigade Road,Brigade Road,Castle Street,residential,residential,none,7.5m,SafeZone,0,0
638,212,1521,22.0,3.17,37.76,22.0,25.0,0.265,0.2917,0.6375,0.4893,0.2173,0.6407,0.563,0.6755,0.376,0.4868,0.1562,0.3642,0.4142,0.3513,0.4242,3.0,0.585,0.2542,0.3467,0.5178,0.4588,3.8333,CENTRAL BANGALORE,Bi-directional,Brigade Road,Brigade Road,Castle Street,residential,residential,none,7.5m,SafeZone,0,0
639,213,1584,103.76,12.45,180.23,103.76,30.0,0.35,0.525,0.7275,0.6705,0.2885,0.611,0.6845,0.819,0.373,0.627,0.1515,0.5325,0.557,0.2925,0.3775,8.775,0.719,0.2235,0.446,0.5905,0.421,3.0,CENTRAL BANGALORE,Bi-directional,Brigade Road,Brigade Road,2nd Cross Road,residential,residential,none,7.5m,SafeZone,0,0
640,214,1461,42.85,6.17,71.11,42.85,25.0,0.4,0.3575,0.698,0.5177,0.266,0.4852,0.631,0.6908,0.292,0.5432,0.1342,0.4167,0.4225,0.3545,0.3717,6.09,0.576,0.197,0.2907,0.5455,0.3705,4.5,CENTRAL BANGALORE,Bi-directional,Brigade Road,Brigade Road,Markham Road,residential,residential,none,7.5m,SafeZone,0,0
641,215,249,43.82,4.51,78.74,43.82,35.0,0.55,0.56,0.8265,0.669,0.3012,0.6208,0.7198,0.8272,0.3522,0.6018,0.126,0.599,0.5755,0.2465,0.3858,4.045,0.8222,0.1455,0.4292,0.589,0.4248,3.5,CENTRAL BANGALORE,Bi-directional,Brigade Road,Brigade Road,Brigade Road,secondary,secondary,none,7.5m,SafeZone,2,0
642,215,275,1644.74,157.9,2900.7,1644.74,37.5,0.465,0.4875,0.6932,0.495,0.1768,0.6725,0.7002,0.8178,0.3177,0.5425,0.1347,0.6075,0.5635,0.2872,0.3875,4.635,0.7523,0.1448,0.4535,0.5472,0.409,3.0,CENTRAL BANGALORE,Bi-directional,Brigade Road,Brigade Road,Brigade Road,secondary,secondary,none,7.5m,SafeZone,2,0
643,215,1570,50.72,6.09,91.1,50.72,30.0,0.565,0.51,0.728,0.6155,0.1452,0.4828,0.6928,0.8038,0.3482,0.6187,0.111,0.6375,0.5495,0.2755,0.4012,3.83,0.7897,0.172,0.4448,0.6395,0.3922,3.0,CENTRAL BANGALORE,Bi-directional,Brigade Road,Brigade Road,Brigade Road,secondary,secondary,none,7.5m,SafeZone,2,0
644,215,1580,43.43,4.47,76.25,43.43,35.0,0.41,0.45,0.804,0.5335,0.2062,0.3532,0.6768,0.8132,0.2778,0.6002,0.123,0.562,0.5555,0.256,0.3688,3.935,0.7737,0.1925,0.4262,0.5705,0.3208,3.5,CENTRAL BANGALORE,Bi-directional,Brigade Road,Brigade Road,Brigade Road,secondary,secondary,none,7.5m,SafeZone,2,0
645,216,232,165.29,19.83,283.33,165.29,30.0,0.175,0.33,0.7537,0.6438,0.1642,0.437,0.6278,0.7025,0.3645,0.5158,0.1572,0.3948,0.4328,0.3312,0.4285,13.71,0.5712,0.1823,0.3908,0.4898,0.4025,4.0,CENTRAL BANGALORE,Bi-directional,Brigade Road,Brigade Road,Unnamed Road,residential,residential,none,7.5m,SafeZone,0,0
646,216,242,144.31,25.98,248.94,144.31,20.0,0.265,0.425,0.7315,0.6735,0.0955,0.442,0.687,0.735,0.3555,0.5185,0.1335,0.387,0.419,0.3385,0.4235,10.58,0.603,0.1325,0.4075,0.4965,0.385,3.0,CENTRAL BANGALORE,Bi-directional,Brigade Road,Brigade Road,Unnamed Road,residential,residential,none,7.5m,SafeZone,0,0
647,216,248,152.83,18.34,270.7,152.83,30.0,0.275,0.28,0.7585,0.7335,0.174,0.5075,0.6475,0.713,0.427,0.5285,0.1785,0.429,0.3945,0.326,0.4615,11.71,0.6195,0.2065,0.4065,0.5285,0.455,3.0,CENTRAL BANGALORE,Bi-directional,Brigade Road,Brigade Road,Unnamed Road,residential,residential,none,7.5m,SafeZone,0,0
648,216,1493,200.47,24.06,343.91,200.47,30.0,0.285,0.365,0.673,0.6065,0.07,0.395,0.6085,0.682,0.433,0.4935,0.132,0.4175,0.458,0.3705,0.4305,13.455,0.57,0.161,0.3645,0.509,0.412,4.0,CENTRAL BANGALORE,Bi-directional,Brigade Road,Brigade Road,Unnamed Road,residential,residential,none,7.5m,SafeZone,0,0
649,217,239,19.36,3.48,31.82,19.36,20.0,0.3562,0.4325,0.6457,0.5062,0.2242,0.4434,0.6053,0.7399,0.2892,0.4765,0.1164,0.413,0.467,0.3041,0.3615,1.755,0.5647,0.1675,0.3258,0.4647,0.3833,6.0,CENTRAL BANGALORE,Bi-directional,Brigade Road,Brigade Road,Unnamed Road,living_street,living_street,none,7.5m,SafeZone,0,0
650,218,223,64.49,7.74,108.65,64.49,30.0,0.2533,0.6,0.7253,0.5878,0.3223,0.6615,0.6315,0.7128,0.3967,0.5098,0.1372,0.4173,0.5385,0.3298,0.3872,9.435,0.595,0.2373,0.312,0.5128,0.4702,6.0,CENTRAL BANGALORE,Bi-directional,Brigade Road,Brigade Road,Unnamed Road,residential,residential,none,7.5m,SafeZone,0,0
651,218,246,61.97,7.44,105.33,61.97,30.0,0.2508,0.5,0.7053,0.5958,0.3566,0.3095,0.607,0.6823,0.3714,0.4846,0.1329,0.4001,0.4688,0.3406,0.3914,3.18,0.6168,0.1883,0.33,0.4808,0.3934,5.0,CENTRAL BANGALORE,Bi-directional,Brigade Road,Brigade Road,Unnamed Road,residential,residential,none,7.5m,SafeZone,0,0
652,218,1459,58.35,7.0,97.24,58.35,30.0,0.1983,0.5,0.7088,0.5328,0.2953,0.3915,0.6365,0.7203,0.3492,0.5358,0.1672,0.4718,0.55,0.3043,0.3647,10.43,0.6035,0.1433,0.365,0.5213,0.3827,5.0,CENTRAL BANGALORE,Bi-directional,Brigade Road,Brigade Road,Unnamed Road,residential,residential,none,7.5m,SafeZone,0,0
653,218,1518,35.72,4.29,59.53,35.72,30.0,0.1533,0.555,0.6808,0.5463,0.4043,0.3505,0.5805,0.6578,0.3972,0.4488,0.1477,0.4013,0.5245,0.3463,0.3942,4.475,0.5445,0.1903,0.3355,0.4348,0.4192,6.0,CENTRAL BANGALORE,Bi-directional,Brigade Road,Brigade Road,Unnamed Road,residential,residential,none,7.5m,SafeZone,0,0
654,218,1520,69.38,8.33,117.8,69.38,30.0,0.1483,0.5,0.6628,0.4968,0.3043,0.3665,0.6085,0.6458,0.3977,0.4538,0.1677,0.3858,0.502,0.3483,0.4042,7.625,0.5875,0.1753,0.343,0.4638,0.4332,6.0,CENTRAL BANGALORE,Bi-directional,Brigade Road,Brigade Road,Unnamed Road,residential,residential,none,7.5m,SafeZone,0,0
655,219,380,226.41,29.64,394.89,226.41,27.5,0.4625,0.4375,0.8245,0.646,0.0648,0.4588,0.6912,0.8445,0.3047,0.6485,0.1498,0.5268,0.5098,0.2558,0.363,14.045,0.7622,0.1835,0.492,0.6252,0.307,4.0,CENTRAL BANGALORE,Bi-directional,Brigade Road,Brigade Road,Hayes Road,tertiary,tertiary,none,7.5m,SafeZone,0,0
656,219,1522,81.32,9.76,138.26,81.32,30.0,0.41,0.37,0.8005,0.688,0.2375,0.655,0.7005,0.8555,0.3255,0.7055,0.1115,0.521,0.5145,0.252,0.35,5.555,0.7005,0.1305,0.496,0.66,0.366,4.0,CENTRAL BANGALORE,Bi-directional,Brigade Road,Brigade Road,Hayes Road,tertiary,tertiary,none,7.5m,SafeZone,0,0
657,219,1525,41.3,4.96,72.0,41.3,30.0,0.4,0.455,0.7375,0.644,0.27,0.606,0.644,0.7875,0.3985,0.5905,0.1255,0.472,0.4545,0.3175,0.411,4.665,0.6645,0.21,0.459,0.603,0.4095,3.0,CENTRAL BANGALORE,Bi-directional,Brigade Road,Brigade Road,Hayes Road,tertiary,tertiary,none,7.5m,SafeZone,0,0
658,219,1532,51.05,6.13,87.28,51.05,30.0,0.455,0.365,0.739,0.6232,0.1862,0.576,0.632,0.7955,0.345,0.593,0.1648,0.4888,0.4705,0.302,0.3755,4.635,0.6682,0.1425,0.421,0.585,0.3668,3.5,CENTRAL BANGALORE,Bi-directional,Brigade Road,Brigade Road,Hayes Road,tertiary,tertiary,none,7.5m,SafeZone,0,0
659,220,295,75.06,10.81,127.07,75.06,25.0,0.3975,0.375,0.7475,0.5122,0.2485,0.629,0.599,0.6735,0.4035,0.4518,0.069,0.441,0.4715,0.354,0.4078,6.895,0.5702,0.218,0.3173,0.482,0.4468,4.5,CENTRAL BANGALORE,Bi-directional,Brigade Road,Brigade Road,Tate Lane,residential,residential,none,7.5m,SafeZone,0,0
660,220,1527,56.57,10.18,96.38,56.57,20.0,0.3575,0.42,0.755,0.567,0.3032,0.426,0.6042,0.6828,0.3632,0.4332,0.081,0.4102,0.4828,0.3268,0.4092,6.435,0.5893,0.1685,0.3203,0.449,0.4118,4.0,CENTRAL BANGALORE,Bi-directional,Brigade Road,Brigade Road,Tate Lane,residential,residential,none,7.5m,SafeZone,0,0
